图号,中文图题,图文件,矢量PDF,数据源,绘图数值,说明
F107,第三问：Q3-T-024逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-024.png,results/figures/q3/transport_profile_Q3-T-024.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-024.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F108,第三问：Q3-T-025逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-025.png,results/figures/q3/transport_profile_Q3-T-025.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-025.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F109,第三问：直连与中继保障的完整时间区间,results/figures/q3/communication_timeline.png,results/figures/q3/communication_timeline.pdf,results/q3/communication_atoms.csv,paper/figure_data/q3__communication_timeline.json,正长度区间图；孤立边界点由独立表逐点验证，图像分辨率不构成连续性证明
F110,第三问：直连与中继累计保障工作量,results/figures/q3/communication_duration.png,results/figures/q3/communication_duration.pdf,results/q3/communication_atoms.csv,paper/figure_data/q3__communication_duration.json,累计飞行及交接时间，不等于日历持续时间；边界点不重复计时
F111,第三问：已分割区间中点链路裕量分布,results/figures/q3/link_margin_distribution.png,results/figures/q3/link_margin_distribution.pdf,results/q3/communication_atoms.csv,paper/figure_data/q3__link_margin_distribution.json,仅中点分布诊断，不是区间内最低裕量证明，不取代完整区间核验
F112,第三问：额外传播损耗压力测试,results/figures/q3/propagation_loss.png,results/figures/q3/propagation_loss.pdf,results/q3/propagation_loss_sensitivity.csv,paper/figure_data/q3__propagation_loss.json,压力场景不重优化；负裕度或中断表示失败，不能当作正式可行方案
F113,第三问：仅中继延迟的冻结分配测试,results/figures/q3/relay_delay.png,results/figures/q3/relay_delay.pdf,results/q3/relay_only_delay_sensitivity.csv,paper/figure_data/q3__relay_delay.json,压力场景不重优化；负裕度或中断表示失败，不能当作正式可行方案
F114,第三问：全部资源共同延后的时限裕度,results/figures/q3/common_delay.png,results/figures/q3/common_delay.pdf,results/q3/common_start_delay_sensitivity.csv,paper/figure_data/q3__common_delay.json,压力场景不重优化；负裕度或中断表示失败，不能当作正式可行方案
F115,第三问：每次中继任务能耗组成,results/figures/q3/relay_energy_components.png,results/figures/q3/relay_energy_components.pdf,results/q3/relay_sorties.csv,paper/figure_data/q3__relay_energy_components.json,当前主方案的诊断视图；不另算一次独立实验
F116,第三问：中继任务返航剩余电量,results/figures/q3/relay_return_soc.png,results/figures/q3/relay_return_soc.pdf,results/q3/relay_sorties.csv,paper/figure_data/q3__relay_return_soc.json,当前主方案的诊断视图；柱高由源表聚合
F117,第四问：运输与中继依赖合并后的不可拆单元,results/figures/q4/atomic_workload.png,results/figures/q4/atomic_workload.pdf,results/q4/atomic_components.csv,paper/figure_data/q4__atomic_workload.json,当前主方案的诊断视图；柱高由源表聚合
F118,第四问：严格不复制中继的2组分区,results/figures/q4/partition_K2.png,results/figures/q4/partition_K2.pdf,results/q4/K2/groups.csv;data/cleaned/model_inputs.json,paper/figure_data/q4__partition_K2.json,当前主方案的诊断视图；不另算一次独立实验
F119,第四问：2组的运输累计作业时间,results/figures/q4/K2_workload.png,results/figures/q4/K2_workload.pdf,results/q4/K2/groups.csv,paper/figure_data/q4__K2_workload.json,当前主方案的诊断视图；柱高由源表聚合
F120,第四问：2组的货箱数量,results/figures/q4/K2_boxes.png,results/figures/q4/K2_boxes.pdf,results/q4/K2/groups.csv,paper/figure_data/q4__K2_boxes.json,当前主方案的诊断视图；柱高由源表聚合
F121,第四问：2组的运输架次数,results/figures/q4/K2_sorties.png,results/figures/q4/K2_sorties.pdf,results/q4/K2/groups.csv,paper/figure_data/q4__K2_sorties.json,当前主方案的诊断视图；柱高由源表聚合
F122,第四问：2组独立配置需求与原库存,results/figures/q4/K2_inventory.png,results/figures/q4/K2_inventory.pdf,results/q4/summary.json,paper/figure_data/q4__K2_inventory.json,当前主方案的诊断视图；不另算一次独立实验
F123,第四问：2组分类型资源缺口,results/figures/q4/K2_gap.png,results/figures/q4/K2_gap.pdf,results/q4/summary.json,paper/figure_data/q4__K2_gap.json,当前主方案的诊断视图；柱高由源表聚合
F124,第四问：2组独立运输机身占用,results/figures/q4/K2_drones_gantt.png,results/figures/q4/K2_drones_gantt.pdf,results/q4/K2/resource_allocations.csv,paper/figure_data/q4__K2_drones_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F125,第四问：2组独立运输电池占用,results/figures/q4/K2_batteries_gantt.png,results/figures/q4/K2_batteries_gantt.pdf,results/q4/K2/resource_allocations.csv,paper/figure_data/q4__K2_batteries_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F126,第四问：2组独立中继机身占用,results/figures/q4/K2_relay_gantt.png,results/figures/q4/K2_relay_gantt.pdf,results/q4/K2/resource_allocations.csv,paper/figure_data/q4__K2_relay_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F127,第四问：2组独立中继能源组件占用,results/figures/q4/K2_modules_gantt.png,results/figures/q4/K2_modules_gantt.pdf,results/q4/K2/resource_allocations.csv,paper/figure_data/q4__K2_modules_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F128,第四问：严格不复制中继的3组分区,results/figures/q4/partition_K3.png,results/figures/q4/partition_K3.pdf,results/q4/K3/groups.csv;data/cleaned/model_inputs.json,paper/figure_data/q4__partition_K3.json,当前主方案的诊断视图；不另算一次独立实验
F129,第四问：3组的运输累计作业时间,results/figures/q4/K3_workload.png,results/figures/q4/K3_workload.pdf,results/q4/K3/groups.csv,paper/figure_data/q4__K3_workload.json,当前主方案的诊断视图；柱高由源表聚合
F130,第四问：3组的货箱数量,results/figures/q4/K3_boxes.png,results/figures/q4/K3_boxes.pdf,results/q4/K3/groups.csv,paper/figure_data/q4__K3_boxes.json,当前主方案的诊断视图；柱高由源表聚合
F131,第四问：3组的运输架次数,results/figures/q4/K3_sorties.png,results/figures/q4/K3_sorties.pdf,results/q4/K3/groups.csv,paper/figure_data/q4__K3_sorties.json,当前主方案的诊断视图；柱高由源表聚合
F132,第四问：3组独立配置需求与原库存,results/figures/q4/K3_inventory.png,results/figures/q4/K3_inventory.pdf,results/q4/summary.json,paper/figure_data/q4__K3_inventory.json,当前主方案的诊断视图；不另算一次独立实验
F133,第四问：3组分类型资源缺口,results/figures/q4/K3_gap.png,results/figures/q4/K3_gap.pdf,results/q4/summary.json,paper/figure_data/q4__K3_gap.json,当前主方案的诊断视图；柱高由源表聚合
F134,第四问：3组独立运输机身占用,results/figures/q4/K3_drones_gantt.png,results/figures/q4/K3_drones_gantt.pdf,results/q4/K3/resource_allocations.csv,paper/figure_data/q4__K3_drones_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F135,第四问：3组独立运输电池占用,results/figures/q4/K3_batteries_gantt.png,results/figures/q4/K3_batteries_gantt.pdf,results/q4/K3/resource_allocations.csv,paper/figure_data/q4__K3_batteries_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F136,第四问：3组独立中继机身占用,results/figures/q4/K3_relay_gantt.png,results/figures/q4/K3_relay_gantt.pdf,results/q4/K3/resource_allocations.csv,paper/figure_data/q4__K3_relay_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F137,第四问：3组独立中继能源组件占用,results/figures/q4/K3_modules_gantt.png,results/figures/q4/K3_modules_gantt.pdf,results/q4/K3/resource_allocations.csv,paper/figure_data/q4__K3_modules_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F138,第四问：严格可行的全部4个分区比较,results/figures/q4/all_partitions.png,results/figures/q4/all_partitions.pdf,results/q4/all_partitions.csv,paper/figure_data/q4__all_partitions.json,固定最终Q3的严格依赖图全部分区；不同于仅按运输依赖枚举的空间
F139,闭环压力测试：运输能耗扰动与最低返航电量,results/figures/closure/energy_soc.png,results/figures/closure/energy_soc.pdf,results/closure/fixed_energy_sweep.csv,paper/figure_data/closure__energy_soc.json,冻结排程压力试验；仅检验图示扰动维度，不重新优化、不代表随机可靠率
F140,闭环压力测试：运输能耗扰动导致的安全余量违约,results/figures/closure/energy_violations.png,results/figures/closure/energy_violations.pdf,results/closure/fixed_energy_sweep.csv,paper/figure_data/closure__energy_violations.json,冻结排程压力试验；仅检验图示扰动维度，不重新优化、不代表随机可靠率
F141,闭环压力测试：运输能耗扰动导致的电池周转冲突,results/figures/closure/energy_charge_conflicts.png,results/figures/closure/energy_charge_conflicts.pdf,results/closure/fixed_energy_sweep.csv,paper/figure_data/closure__energy_charge_conflicts.json,冻结排程压力试验；仅检验图示扰动维度，不重新优化、不代表随机可靠率
F142,闭环压力测试：充电时间扰动与下一次任务准备裕度,results/figures/closure/charge_slack.png,results/figures/closure/charge_slack.pdf,results/closure/fixed_charging_sweep.csv,paper/figure_data/closure__charge_slack.json,冻结排程压力试验；仅检验图示扰动维度，不重新优化、不代表随机可靠率
F143,闭环压力测试：充电变慢后的资源冲突,results/figures/closure/charge_conflicts.png,results/figures/closure/charge_conflicts.pdf,results/closure/fixed_charging_sweep.csv,paper/figure_data/closure__charge_conflicts.json,冻结排程压力试验；仅检验图示扰动维度，不重新优化、不代表随机可靠率
F144,闭环压力测试：共同延迟对最紧硬时限的影响,results/figures/closure/delay_slack.png,results/figures/closure/delay_slack.pdf,results/closure/common_delay_fine_sweep.csv,paper/figure_data/closure__delay_slack.json,冻结排程压力试验；仅检验图示扰动维度，不重新优化、不代表随机可靠率
F145,闭环压力测试：共同延迟导致的硬时限违约货箱数,results/figures/closure/delay_violations.png,results/figures/closure/delay_violations.pdf,results/closure/common_delay_fine_sweep.csv,paper/figure_data/closure__delay_violations.json,冻结排程压力试验；仅检验图示扰动维度，不重新优化、不代表随机可靠率
F146,闭环压力测试：共同延迟导致的期望送达逾期,results/figures/closure/expected_delay.png,results/figures/closure/expected_delay.pdf,results/closure/common_delay_fine_sweep.csv,paper/figure_data/closure__expected_delay.json,冻结排程压力试验；仅检验图示扰动维度，不重新优化、不代表随机可靠率
F147,闭环筛选：独立Q3候选的严格三分区兼容性,results/figures/closure/candidate_compatibility.png,results/figures/closure/candidate_compatibility.pdf,results/q3/closure_existing_candidates.csv,paper/figure_data/closure__candidate_compatibility.json,圆点支持严格三组；叉号不支持；同坐标标签合并，选择在Q3定稿前完成，不在Q4改排任务
